class;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16
0;-1;1;-1;1;1;1;-1;-1;-1;1;NaN;1;1;1;-1;1
0;-1;1;-1;1;1;1;-1;-1;-1;-1;-1;1;1;1;-1;NaN
1;NaN;1;1;NaN;1;1;-1;-1;-1;-1;1;-1;1;1;-1;-1
1;-1;1;1;-1;NaN;1;-1;-1;-1;-1;1;-1;1;-1;-1;1
1;1;1;1;-1;1;1;-1;-1;-1;-1;1;NaN;1;1;1;1
1;-1;1;1;-1;1;1;-1;-1;-1;-1;-1;-1;1;1;1;1
1;-1;1;-1;1;1;1;-1;-1;-1;-1;-1;-1;NaN;1;1;1
0;-1;1;-1;1;1;1;-1;-1;-1;-1;-1;-1;1;1;NaN;1
0;-1;1;-1;1;1;1;-1;-1;-1;-1;-1;1;1;1;-1;1
1;1;1;1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;NaN;NaN
0;-1;1;-1;1;1;-1;-1;-1;-1;-1;NaN;NaN;1;1;-1;-1
0;-1;1;-1;1;1;1;-1;-1;-1;-1;1;NaN;1;1;NaN;NaN
1;-1;1;1;-1;-1;-1;1;1;1;-1;-1;-1;1;-1;NaN;NaN
1;1;1;1;-1;-1;1;1;1;NaN;1;1;NaN;-1;-1;1;NaN
0;-1;1;-1;1;1;1;-1;-1;-1;-1;-1;1;NaN;NaN;-1;NaN
0;-1;1;-1;1;1;1;-1;-1;-1;1;-1;1;1;NaN;-1;NaN
1;1;-1;1;-1;-1;1;-1;1;NaN;1;1;1;NaN;-1;-1;1
1;1;NaN;1;-1;-1;-1;1;1;1;-1;-1;-1;1;-1;1;1
0;-1;1;-1;1;1;1;-1;-1;-1;-1;-1;NaN;1;1;-1;-1
1;1;1;1;-1;-1;-1;1;1;1;-1;1;-1;-1;-1;1;1
1;1;1;1;-1;-1;NaN;1;1;-1;-1;1;-1;-1;-1;1;1
1;1;1;1;-1;-1;-1;1;1;1;-1;-1;-1;NaN;NaN;1;1
